"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"2";"";"R-EU_R0201";"R0201";"DUMMYH, DUMMYL";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"R";
"1";"0.1µF";"C-EUC0603";"C0603";"SS";"CAPACITOR, European symbol";"";"";"";"";"";"";"73";"C";
"2";"0.1µF";"C-EUC0805";"C0805";"C13, C21";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"1";"0.68µH";"SRP1238A-XXXX";"INDM135125X330N";"U$3";"Inductor";"";"";"";"";"";"";"";"";
"1";"1.5nF";"C-EUC0603";"C0603";"C19";"CAPACITOR, European symbol";"";"";"";"";"";"";"73";"C";
"1";"100pF";"C-EUC0603";"C0603";"C26";"CAPACITOR, European symbol";"";"";"";"";"";"";"73";"C";
"2";"100µF";"CAP_VZH";"CAPAE1030X1000N";"U$6, U$7";"";"";"";"";"";"";"";"";"";
"2";"100µF";"WCAP-ASLL-WE50V100µF";"CAPAE830X850N";"C1, C2";"";"";"";"";"";"";"";"";"";
"2";"10R";"R-EU_R0603";"R0603";"R14, R15";"RESISTOR, European symbol";"";"";"";"";"";"";"70";"R";
"1";"110pF";"C-EUC0603";"C0603";"C20";"CAPACITOR, European symbol";"";"";"";"";"";"";"73";"C";
"1";"15.4k";"R-EU_R0603";"R0603";"R10";"RESISTOR, European symbol";"";"";"";"";"";"";"70";"R";
"1";"1k";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";"70";"R";
"1";"1µF";"C-EUC0603";"C0603";"C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"73";"C";
"4";"22µF";"C-EUC0805";"C0805";"C22, C23, C27, C28";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"1";"34.1k";"R-EU_R0603";"R0603";"R12";"RESISTOR, European symbol";"";"";"";"";"";"";"70";"R";
"1";"67PR10KLF";"67PR10KLF";"67PR10KLF";"U$2";"";"";"";"";"";"";"";"";"";
"1";"75k";"R-EU_R0603";"R0603";"RT";"RESISTOR, European symbol";"";"";"";"";"";"";"70";"R";
"2";"CSD17301Q5A";"CSD17301Q5A";"Q5A";"U$9, U$10";"CSD17301Q5A";"";"";"";"";"";"";"";"";
"4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"7";"";
"1";"R002";"R-EU_R2512W";"R2512W";"RSENSE";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"R";
"1";"SPLITTER";"SPLITTER";"SPLITTER";"U$1";"";"";"";"";"";"";"";"";"";
"2";"TERMINAL_BLOCK_5MM_WPADS";"TERMINAL_BLOCK_5MM_WPADS";"TERMINAL_5MM_WITH_SOLDERPADS";"U$4, U$5";"";"";"";"";"";"";"";"";"";
"1";"TPS43061RTER";"TPS43061RTER";"QFN50P300X300X80-17N";"BOOST";"Low Iq, Synchronous Boost Controller with Wide Input Voltage and 5.5V Gate Drive for Low Qg  NexFETs";"Low Iq, Synchronous Boost Controller with Wide Input Voltage and 5.5V Gate Drive for Low Qg  NexFETs";"0.8mm";"Texas Instruments";"TPS43061RTER";"595-TPS43061RTER";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-TPS43061RTER";"";"";
